J,X,Z,Z_var,Number of simulations,"X_dmrg,ref","Z_dmrg,ref"
0.9,0.834283325,0.352502306,2.396975524,16000,0.828881592,0.34948273
0.91,0.828437073,0.357920354,2.399974533,16000,0.822250096,0.35680972
0.92,0.818525391,0.369581538,2.455246533,16000,0.814799139,0.364951966
0.93,0.816403381,0.372228401,2.366024134,16000,0.80617975,0.37426895
0.94,0.813326477,0.377256226,2.424408248,16000,0.795821186,0.385345706
0.95,0.731800598,0.459422538,2.169631184,16000,0.782762178,0.399161754
0.96,0.756149902,0.436606691,2.22709292,16000,0.765359023,0.417380119
0.97,0.76563208,0.426300985,2.22806205,16000,0.740868846,0.442750811
0.98,0.681738098,0.512177658,1.911862521,16000,0.705282338,0.479238438
0.99,0.662430847,0.531145832,1.891742945,16000,0.655044565,0.53022866
1,0.688144531,0.505370627,2.017138087,16000,0.59279,0.592790486
1.01,0.505090149,0.688797764,1.239239947,16000,0.530805209,0.654473753
1.02,0.451455933,0.742295776,1.055784175,16000,0.480953934,0.703600815
1.03,0.434403137,0.758166666,0.969552561,16000,0.445432388,0.738266538
1.04,0.573662354,0.618911519,1.619467859,16000,0.420730968,0.762139608
1.05,0.409896545,0.781255717,0.883676892,16000,0.403018276,0.779093839
1.06,0.405230164,0.784932486,0.881453992,16000,0.3896653,0.791753337
1.07,0.388152832,0.801863481,0.8097722,16000,0.379075771,0.801698247
1.08,0.371319458,0.817783394,0.715138439,16000,0.370300451,0.809862459
1.09,0.364466553,0.824549195,0.692466569,16000,0.362765619,0.816807785
1.1,0.357973083,0.830184535,0.635978094,16000,0.35611411,0.822882786
