J,X,"X_dmrg,ref",Z,"Z_dmrg,ref",dZ/dJ,dZ/dJ.ref,Z_var,Number of simulations
0,1.007647461,1,3.31E-05,-3.37E-16,0.33550751,,2.492402613,16000
0.1,1.006044861,0.998330543,0.033583851,0.033370524,0.33847034,,2.523758996,16000
0.2,0.99983313,0.993288055,0.067727168,0.066967962,0.34135665,,2.500543883,16000
0.3,0.990688416,0.98476522,0.101855181,0.101039026,0.34435359,,2.551730843,16000
0.4,0.9814599,0.97256486,0.136597886,0.135875005,0.352712005,,2.548050923,16000
0.5,0.964285767,0.95636479,0.172397582,0.171849881,0.37332275,,2.519876844,16000
0.6,0.942063232,0.935645187,0.211262436,0.209491477,0.39940013,,2.544799451,16000
0.7,0.915500488,0.909517092,0.252277608,0.249648552,0.42663916,,2.521906429,16000
0.8,0.88259259,0.876162602,0.296590268,0.294057234,0.50112349,,2.461614214,16000
0.9,0.834283325,0.828881592,0.352502306,0.34948273,0.543378944,,2.396975524,16000
0.91,0.828437073,0.822250096,0.357920354,0.35680972,0.8539616,,2.399974533,16000
0.92,0.818525391,0.814799139,0.369581538,0.364951966,0.71540235,,2.455246533,16000
0.93,0.816403381,0.80617975,0.372228401,0.37426895,0.3837344,,2.366024134,16000
0.94,0.813326477,0.795821186,0.377256226,0.385345706,4.35970685,,2.424408248,16000
0.95,0.731800598,0.782762178,0.459422538,0.399161754,2.96752325,,2.169631184,16000
0.96,0.756149902,0.765359023,0.436606691,0.417380119,-1.65607765,,2.22709292,16000
0.97,0.76563208,0.740868846,0.426300985,0.442750811,3.77854835,,2.22806205,16000
0.98,0.681738098,0.705282338,0.512177658,0.479238438,5.24224235,,1.911862521,16000
0.99,0.662430847,0.655044565,0.531145832,0.53022866,-0.34035155,,1.891742945,16000
1,0.688144531,0.59279,0.505370627,0.592790486,7.8825966,,2.017138087,16000
1.01,0.505090149,0.530805209,0.688797764,0.654473753,11.84625745,,1.239239947,16000
1.02,0.451455933,0.480953934,0.742295776,0.703600815,3.4684451,,1.055784175,16000
1.03,0.434403137,0.445432388,0.758166666,0.738266538,-6.16921285,,0.969552561,16000
1.04,0.573662354,0.420730968,0.618911519,0.762139608,1.15445255,,1.619467859,16000
1.05,0.409896545,0.403018276,0.781255717,0.779093839,8.30104835,,0.883676892,16000
1.06,0.405230164,0.3896653,0.784932486,0.791753337,1.0303882,,0.881453992,16000
1.07,0.388152832,0.379075771,0.801863481,0.801698247,1.6425454,,0.8097722,16000
1.08,0.371319458,0.370300451,0.817783394,0.809862459,1.1342857,,0.715138439,16000
1.09,0.364466553,0.362765619,0.824549195,0.816807785,0.62005705,,0.692466569,16000
1.1,0.357973083,0.35611411,0.830184535,0.822882786,0.548809633,,0.635978094,16000
1.2,0.310992737,0.310524709,0.870341131,0.862710828,0.323065435,,0.476389524,16000
1.3,0.282279114,0.279750432,0.894797622,0.887389773,0.211693055,,0.358772699,16000
1.4,0.257999207,0.255670264,0.912679742,0.905258779,0.15534067,,0.282745784,16000
1.5,0.238833191,0.235907055,0.925865756,0.918908249,0.120611805,,0.240710072,16000
1.6,0.220756714,0.219250142,0.936802103,0.929667666,0.09979286,,0.191005787,16000
1.7,0.20678186,0.204953373,0.945824328,0.938341387,0.08044754,,0.150770015,16000
1.8,0.193875061,0.192512461,0.952891611,0.945456923,0.063314775,,0.12989859,16000
1.9,0.183342896,0.18156711,0.958487283,0.951378055,0.05307142,,0.110840671,16000
2,0.174414795,0.171849881,0.963505895,0.95636479,0.05018612,,0.094598243,16000
